feature,importance,std,pollutant,model
AWND,0.297940651682078,0.030403256305719936,NO2,RandomForest
mean_traffic_dist_m,0.11544748628610982,0.030806631747856347,NO2,RandomForest
y_lag1,0.09749376215711181,0.01775442773764237,NO2,RandomForest
TMIN,0.040923907413343376,0.010997117342453578,NO2,RandomForest
weekday,0.029639408306765848,0.007261675490437398,NO2,RandomForest
doy_cos,0.02259441011972116,0.008969320432165345,NO2,RandomForest
is_weekend,0.011628446737640024,0.003345391912857198,NO2,RandomForest
TAVG,0.009852369024356373,0.002422671979730859,NO2,RandomForest
traffic_am_peak_wmean,0.00679782732958748,0.004089773007284265,NO2,RandomForest
traffic_pm_peak_wmean,0.00648589349770094,0.0030344933211092465,NO2,RandomForest
traffic_daily_total_traffic_wmean,0.0064002751504399265,0.0028046069144116335,NO2,RandomForest
traffic_peak_volume_wmean,0.003251850144873453,0.002683600152409006,NO2,RandomForest
TMAX,0.0026733869121430055,0.0021202243198550188,NO2,RandomForest
nearest_bus_dist_m,7.224073867801994e-05,0.00011327508594776678,NO2,RandomForest
month,0.0,0.0,NO2,RandomForest
traffic_truck_volume_wmean,0.0,0.0,NO2,RandomForest
doy_sin,0.0,0.0,NO2,RandomForest
bus_count_3km,-7.087489783174084e-05,6.930421727292913e-05,NO2,RandomForest
n_traffic_sites_linked,-0.00010292622941894258,0.00022377691198126082,NO2,RandomForest
bus_count_1km,-0.00012375577041520702,7.25684469926549e-05,NO2,RandomForest
bus_count_500m,-0.0002920559284275981,9.60823342478124e-05,NO2,RandomForest
PRCP,-0.0005151097276632543,0.000812610838093256,NO2,RandomForest
