feature,importance,std,pollutant,model
y_lag1,0.61875334206678,0.05813712435414063,PM2.5,RandomForest
AWND,0.04151300267033692,0.019050027748403125,PM2.5,RandomForest
doy_sin,0.01972569799528265,0.004367941019844806,PM2.5,RandomForest
TAVG,0.014147975705289185,0.004760980159703632,PM2.5,RandomForest
PRCP,0.0025280582977368848,0.001188718310871663,PM2.5,RandomForest
traffic_am_peak_wmean,0.002342942345132065,0.000862637399677686,PM2.5,RandomForest
TMAX,0.0017857100813171046,0.0017181599983831192,PM2.5,RandomForest
TMIN,0.0011131803199722957,0.002099451339603563,PM2.5,RandomForest
n_traffic_sites_linked,0.0007466592891996581,0.00025175698383049413,PM2.5,RandomForest
month,0.0007376585592770268,0.0003276856190610217,PM2.5,RandomForest
traffic_daily_total_traffic_wmean,0.0007204184926604019,0.0007454154408094312,PM2.5,RandomForest
bus_count_1km,0.00029956373369184884,0.00012695144989299486,PM2.5,RandomForest
bus_count_3km,0.00028132534592338333,0.00014769588633309797,PM2.5,RandomForest
is_weekend,0.0002224931560147747,0.00045408067750267174,PM2.5,RandomForest
nearest_bus_dist_m,0.00018771706584278514,0.00019757574278328206,PM2.5,RandomForest
bus_count_500m,0.000175710779412247,0.0002004948072102634,PM2.5,RandomForest
mean_traffic_dist_m,0.00010287704729325386,0.00019052013917397292,PM2.5,RandomForest
traffic_truck_volume_wmean,2.7755575615628914e-17,4.8074067159589095e-17,PM2.5,RandomForest
traffic_pm_peak_wmean,-0.0006030934469281491,0.0004012778661192322,PM2.5,RandomForest
traffic_peak_volume_wmean,-0.0027272288134332578,0.0008940298367754915,PM2.5,RandomForest
weekday,-0.003287185529989489,0.0021581354603388177,PM2.5,RandomForest
doy_cos,-0.003616423974744476,0.0031316160571498108,PM2.5,RandomForest
