pollutant,track,variant,model,RMSE,MAE,R2
PM2.5,A_long_2023_2026,with_lag_no_traffic,Baseline(mean),2.6130994599171804,1.8020625559057357,-0.0019066445080069272
PM2.5,A_long_2023_2026,with_lag_no_traffic,Ridge,2.296686924763911,1.3872192202255245,0.22603918672082257
PM2.5,A_long_2023_2026,with_lag_no_traffic,RandomForest,2.3349471715707,1.4059081264071973,0.20003774758881765
PM2.5,A_long_2023_2026,with_lag_no_traffic,XGBoost,2.6303085421077865,1.6147027251661803,-0.015146606480474833
PM2.5,A_long_2023_2026,no_lag_no_traffic,Baseline(mean),2.6130994599171804,1.8020625559057357,-0.0019066445080069272
PM2.5,A_long_2023_2026,no_lag_no_traffic,Ridge,2.6151812476694625,1.8420076070928901,-0.0035036658593901038
PM2.5,A_long_2023_2026,no_lag_no_traffic,RandomForest,2.714145171091611,1.9449124909620192,-0.08089005847307917
PM2.5,A_long_2023_2026,no_lag_no_traffic,XGBoost,3.8239782353269094,2.3761553302651546,-1.1455873499017408
PM2.5,B_short_2025_2026,all_features,Baseline(mean),1.8450110418145416,1.329538467968611,-0.024296511252811737
PM2.5,B_short_2025_2026,all_features,Ridge,1.5818377848437744,1.2166240874738918,0.24707512653758745
PM2.5,B_short_2025_2026,all_features,RandomForest,1.4036267534728646,1.0228451241553953,0.40716883130462744
PM2.5,B_short_2025_2026,all_features,XGBoost,1.8814464709143524,1.4726695022030154,-0.06515175602860745
PM2.5,B_short_2025_2026,no_traffic_no_lag,Baseline(mean),1.8450110418145416,1.329538467968611,-0.024296511252811737
PM2.5,B_short_2025_2026,no_traffic_no_lag,Ridge,2.041006947967503,1.5584572604953169,-0.25347801317597174
PM2.5,B_short_2025_2026,no_traffic_no_lag,RandomForest,1.7565636122086254,1.2921067204796037,0.07155641855012895
PM2.5,B_short_2025_2026,no_traffic_no_lag,XGBoost,2.3985482713567867,1.8776677416372989,-0.7311100616654016
NO2,A_long_2023_2026,with_lag_no_traffic,Baseline(mean),12.691112323473668,10.166472333403554,-0.5740975712676719
NO2,A_long_2023_2026,with_lag_no_traffic,Ridge,5.828221999958782,4.702002798268308,0.6680257144652983
NO2,A_long_2023_2026,with_lag_no_traffic,RandomForest,6.5353170765895054,5.125162609038738,0.5825873566665193
NO2,A_long_2023_2026,with_lag_no_traffic,XGBoost,6.330146830788693,4.9345959517549955,0.6083845288629213
NO2,A_long_2023_2026,no_lag_no_traffic,Baseline(mean),12.691112323473668,10.166472333403554,-0.5740975712676719
NO2,A_long_2023_2026,no_lag_no_traffic,Ridge,6.199201671012271,4.9694001588835235,0.6244188365157537
NO2,A_long_2023_2026,no_lag_no_traffic,RandomForest,6.172463659711851,4.911137808601473,0.627651716175891
NO2,A_long_2023_2026,no_lag_no_traffic,XGBoost,7.129773194266164,5.195706146257989,0.503197580246624
NO2,B_short_2025_2026,all_features,Baseline(mean),10.956967254406283,8.313073707370737,-0.2195014782319631
NO2,B_short_2025_2026,all_features,Ridge,5.221666412088352,4.14136612152793,0.7230382145369559
NO2,B_short_2025_2026,all_features,RandomForest,6.621457700423919,5.155666789963205,0.5546424474647413
NO2,B_short_2025_2026,all_features,XGBoost,6.567628893200047,5.291002717336019,0.5618540383273697
NO2,B_short_2025_2026,no_traffic_no_lag,Baseline(mean),10.956967254406283,8.313073707370737,-0.2195014782319631
NO2,B_short_2025_2026,no_traffic_no_lag,Ridge,5.667136706797635,4.4112928291541085,0.673766179685183
NO2,B_short_2025_2026,no_traffic_no_lag,RandomForest,6.906352312292766,5.370484683016114,0.5154941089895417
NO2,B_short_2025_2026,no_traffic_no_lag,XGBoost,7.127706510196558,5.7285146776835125,0.48393878389807854
