feature,mean_abs_shap,pollutant,track
y_lag1,5.03598520799273,NO2,A
AWND,2.4845043988312963,NO2,A
TMIN,1.3184530681110114,NO2,A
nearest_bus_dist_m,0.9479054719624712,NO2,A
weekday,0.9083481989648582,NO2,A
is_weekend,0.6579409244774896,NO2,A
bus_count_500m,0.5650154480582985,NO2,A
bus_count_3km,0.5364251520375624,NO2,A
bus_count_1km,0.5334433173329229,NO2,A
TAVG,0.2890453032751885,NO2,A
doy_cos,0.18208042769516525,NO2,A
doy_sin,0.16782402498569704,NO2,A
month,0.11048938126138394,NO2,A
PRCP,0.09433954161520725,NO2,A
TMAX,0.08867475885018064,NO2,A
