feature,mean_abs_shap,pollutant,track
y_lag1,1.1607177951396213,PM2.5,A
AWND,0.19507426271416187,PM2.5,A
TMAX,0.13128897778601892,PM2.5,A
TMIN,0.11582652556829513,PM2.5,A
doy_sin,0.10806203682914484,PM2.5,A
month,0.0455110544976017,PM2.5,A
doy_cos,0.03780918263348258,PM2.5,A
weekday,0.030225201395384902,PM2.5,A
PRCP,0.027287252180216697,PM2.5,A
TAVG,0.01957181530268425,PM2.5,A
nearest_bus_dist_m,0.0023852731334248305,PM2.5,A
is_weekend,0.0010296594326350494,PM2.5,A
bus_count_500m,0.0008162273976458743,PM2.5,A
bus_count_3km,0.0007149782595488281,PM2.5,A
bus_count_1km,0.0005408616775749859,PM2.5,A
