feature,mean_abs_shap,pollutant,track
y_lag1,0.8350960744346455,PM2.5,B
AWND,0.2678419037947229,PM2.5,B
doy_sin,0.08964998200307248,PM2.5,B
TMIN,0.06641950930193728,PM2.5,B
TAVG,0.040138036717519414,PM2.5,B
doy_cos,0.0295949846365366,PM2.5,B
TMAX,0.023018097463903275,PM2.5,B
PRCP,0.020585859767916305,PM2.5,B
weekday,0.01650536618068599,PM2.5,B
traffic_am_peak_wmean,0.009154159541814203,PM2.5,B
traffic_daily_total_traffic_wmean,0.008389341110972677,PM2.5,B
month,0.007102934610580289,PM2.5,B
is_weekend,0.006806831529208764,PM2.5,B
traffic_peak_volume_wmean,0.005647120867179288,PM2.5,B
mean_traffic_dist_m,0.00410013449831066,PM2.5,B
traffic_pm_peak_wmean,0.0038829484858298726,PM2.5,B
n_traffic_sites_linked,0.0032911797236985247,PM2.5,B
bus_count_500m,0.00183951295386119,PM2.5,B
bus_count_3km,0.0017973539241770149,PM2.5,B
nearest_bus_dist_m,0.0015376863218738498,PM2.5,B
bus_count_1km,0.0012308475614164322,PM2.5,B
traffic_truck_volume_wmean,0.0,PM2.5,B
