LOCALNAM,county_name,tract_pop,composite_vuln,exposure_score
W BRONSON HWY,Osceola,6764,0.3504752560782818,2370.614632113498
W COLONIAL DR,Orange,4503,0.38976603285700584,1755.1164459550973
SR-46,Seminole,5202,0.24934233737131578,1297.0788390055848
I-4,Orange,2360,0.5146918808032886,1214.6728386957611
E BRONSON HWY,Osceola,4749,0.24441359599877516,1160.7201673981833
SR-434,Seminole,1711,0.5378414201665134,920.2466699049044
I-4,Seminole,1725,0.4879245018584678,841.669765705857
SEMORAN BLVD,Orange,1602,0.4910288266271222,786.6281802566498
US-17/92,Seminole,1964,0.37245021100946635,731.4922144225919
COLONIAL DR,Orange,925,0.639213836231712,591.2727985143337
ORANGE AVE,Orange,2541,0.0895167587203582,227.4620839084302
